formulaRank,molecularFormula,adduct.x,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality,target_Compound,adduct.y,MetaboAnnotation_status
1,C18H37NO5,[M - H2O + H]+,C18H36NO4+,Fatty acids,1,Fatty Acids and Conjugates,0.883,Nitro fatty acids,0.965,Lipids and lipid-like molecules,0.992,Fatty Acyls,0.993,Fatty acids and conjugates,0.983,Long-chain fatty acids,0.848,Long-chain fatty acids,0.848,"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Nitro fatty acids; Hydroxy acids and derivatives; Amino fatty acids; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Long-chain fatty acids; Medium-chain fatty acids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",330.265,327,5.445,801747323791358200,801746905484920200,12257,NA,NA,NA,FALSE
1,C18H35NO3S,[M + Na]+,C18H35NNaO3S+,Fatty acids,0.994,Fatty Acids and Conjugates,0.596,N-acyl amines,0.38,Lipids and lipid-like molecules,0.921,Fatty Acyls,0.931,Fatty acids and conjugates,0.875,Thia fatty acids,0.548,Thia fatty acids,0.548,Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Straight chain fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Thia fatty acids; Secondary carboxylic acid amides; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,368.221,327,5.447,801747315654405e3,801746905510086e3,12249,NA,NA,NA,FALSE
1,C28H38O6,[M - H2O + H]+,C28H37O5+,Terpenoids,0.999,Steroids,0.999,Ergostane steroids,0.999,Lipids and lipid-like molecules,0.985,Steroids and steroid derivatives,0.98,Steroid lactones,0.967,Withanolides and derivatives,0.994,Withanolides and derivatives,0.994,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Epoxides; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Tertiary alcohols; Oxepanes; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",453.264,327,5.45,801747315797011500,801746905564612e3,12284,NA,NA,NA,FALSE
1,C28H34O4,[M + H]+,C28H35O4+,Terpenoids,0.996,Steroids,0.991,Ergostane steroids,0.853,Lipids and lipid-like molecules,0.968,Steroids and steroid derivatives,0.963,Steroid lactones,0.726,NA,NA,Steroid lactones,0.726,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Ketones; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Oxosteroids; Carboxylic acid esters; Steroid esters; Carbonyl compounds; 3-oxosteroids; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities,435.254,327,5.458,801747318577835800,801746905589777800,12293,NA,NA,NA,FALSE
1,C16H35NO3,[M + H]+,C16H36NO3+,Fatty acids,0.981,Spingolipids,0.607,Sphingoid bases,0.923,Organic nitrogen compounds,0.999,Organonitrogen compounds,0.998,Amines,0.964,Alkanolamines,0.854,"1,2-aminoalcohols",0.761,"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",290.27,329,5.49,801747319806767400,801746905644303700,12346,NA,NA,NA,FALSE
1,C9H18O3,[M - H2O + H]+,C9H17O2+,Fatty acids,0.942,Fatty Acids and Conjugates,0.462,Fatty alcohols,0.568,Organic oxygen compounds,1,Organooxygen compounds,1,Alcohols and polyols,0.847,Secondary alcohols,0.532,Secondary alcohols,0.532,Organic compounds; Alcohols and polyols; Ethers; Organooxygen compounds; Dialkyl ethers; Secondary alcohols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,157.123,330,5.492,801747338718892300,801746905673663900,12353,NA,NA,NA,FALSE
1,C13H22O,[M - H2O + H]+,C13H21+,Terpenoids,0.986,Sesquiterpenoids,0.92,Caryophyllane sesquiterpenoids,0.087,Lipids and lipid-like molecules,0.742,Prenol lipids,0.696,Sesquiterpenoids,0.511,NA,NA,Sesquiterpenoids,0.511,Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Sesquiterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,177.164,330,5.495,801747315914452e3,801746905707218300,12358,NA,NA,NA,FALSE
1,C18H35NO3,[M - H2O + H]+,C18H34NO2+,Fatty acids,1,Fatty amides,0.885,Nitro fatty acids,0.695,Lipids and lipid-like molecules,0.921,Fatty Acyls,0.936,Fatty acids and conjugates,0.618,Long-chain fatty acids,0.578,Long-chain fatty acids,0.578,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,296.259,330,5.508,801747316589735e3,801746905765938600,12435,NA,NA,NA,FALSE
1,C16H33N4O2,[M + K]+,C16H33KN4O2+,Amino acids and Peptides,0.52,Small peptides,0.567,Dipeptides,0.355,Organic acids and derivatives,0.892,Carboxylic acids and derivatives,0.772,"Amino acids, peptides, and analogues",0.637,Amino acids and derivatives,0.626,Amino acids and derivatives,0.626,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",352.226,332,5.531,8017473218452e5,801746905824658800,12437,NA,NA,NA,FALSE
1,C18H28O,[M + H3N + H]+,C18H32NO+,Fatty acids,0.986,Fatty acyls,0.961,Fatty aldehydes,0.634,Lipids and lipid-like molecules,0.593,Fatty Acyls,0.377,Fatty aldehydes,0.647,NA,NA,Fatty aldehydes,0.647,Organic compounds; Lipids and lipid-like molecules; Aldehydes; Fatty aldehydes; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,278.249,332,5.534,801747323183183700,801746905854019e3,12444,NA,NA,NA,FALSE
1,C18H29NO3,[M + H]+,C18H30NO3+,Alkaloids,0.697,Pseudoalkaloids (transamidation),0.226,Phenylalanine-derived alkaloids,0.297,Benzenoids,0.972,Phenol ethers,0.699,NA,NA,NA,NA,Phenol ethers,0.699,"Organic compounds; Lipids and lipid-like molecules; Alkyl aryl ethers; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Secondary alcohols; 1,2-aminoalcohols; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Primary amines; Alkanolamines; Aralkylamines; Fatty Acyls; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities",308.218,333,5.549,801747318674304800,801746905916933500,12400,NA,NA,NA,FALSE
1,C28H36O5,[M + H3N + H]+,C28H40NO5+,Terpenoids,0.778,Steroids,0.467,Ergostane steroids,0.241,Lipids and lipid-like molecules,0.815,Steroids and steroid derivatives,0.62,NA,NA,NA,NA,Steroids and steroid derivatives,0.62,Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities,470.291,334,5.568,80174732154321e4,801746905975653900,12511,NA,NA,NA,FALSE
1,C24H49NO7,[M + K]+,C24H49KNO7+,Amino acids and Peptides,0.27,Macrolides,0.446,Open-chain polyketides,0.372,Lipids and lipid-like molecules,0.767,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.767,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,502.317,334,5.568,801747326043700400,801746906005014e3,12512,NA,NA,NA,FALSE
1,C28H38O6,[M - H2O + H]+,C28H37O5+,Terpenoids,0.991,Steroids,0.978,Ergostane steroids,0.988,Lipids and lipid-like molecules,0.969,Steroids and steroid derivatives,0.938,Steroid lactones,0.88,Withanolides and derivatives,0.948,Withanolides and derivatives,0.948,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",453.264,334,5.57,801747363855364500,801746906034374100,12525,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+H-H2O]+,TRUE
1,C28H38O6,[M - H2O + H]+,C28H37O5+,Terpenoids,0.991,Steroids,0.978,Ergostane steroids,0.988,Lipids and lipid-like molecules,0.969,Steroids and steroid derivatives,0.938,Steroid lactones,0.88,Withanolides and derivatives,0.948,Withanolides and derivatives,0.948,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",453.264,334,5.57,801747363855364500,801746906034374100,12525,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+H-H2O]+,TRUE
1,C28H38O6,[M - H2O + H]+,C28H37O5+,Terpenoids,0.991,Steroids,0.978,Ergostane steroids,0.988,Lipids and lipid-like molecules,0.969,Steroids and steroid derivatives,0.938,Steroid lactones,0.88,Withanolides and derivatives,0.948,Withanolides and derivatives,0.948,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",453.264,334,5.57,801747363855364500,801746906034374100,12525,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+H-H2O]+,TRUE
1,C28H38O6,[M - H2O + H]+,C28H37O5+,Terpenoids,0.991,Steroids,0.978,Ergostane steroids,0.988,Lipids and lipid-like molecules,0.969,Steroids and steroid derivatives,0.938,Steroid lactones,0.88,Withanolides and derivatives,0.948,Withanolides and derivatives,0.948,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",453.264,334,5.57,801747363855364500,801746906034374100,12525,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+H-H2O]+,TRUE
1,C28H38O6,[M + H3N + H]+,C28H42NO6+,Terpenoids,1,Steroids,1,Ergostane steroids,1,Lipids and lipid-like molecules,0.99,Steroids and steroid derivatives,0.987,Steroid lactones,0.984,Withanolides and derivatives,0.998,Withanolides and derivatives,0.998,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Epoxides; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Tertiary alcohols; Oxepanes; Carbonyl compounds; 5,6-epoxysteroids; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",488.302,334,5.57,801747326303747200,801746906063734300,12527,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+NH4]+,TRUE
1,C28H38O6,[M + H3N + H]+,C28H42NO6+,Terpenoids,1,Steroids,1,Ergostane steroids,1,Lipids and lipid-like molecules,0.99,Steroids and steroid derivatives,0.987,Steroid lactones,0.984,Withanolides and derivatives,0.998,Withanolides and derivatives,0.998,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Epoxides; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Tertiary alcohols; Oxepanes; Carbonyl compounds; 5,6-epoxysteroids; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",488.302,334,5.57,801747326303747200,801746906063734300,12527,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+NH4]+,TRUE
1,C28H38O6,[M + H3N + H]+,C28H42NO6+,Terpenoids,1,Steroids,1,Ergostane steroids,1,Lipids and lipid-like molecules,0.99,Steroids and steroid derivatives,0.987,Steroid lactones,0.984,Withanolides and derivatives,0.998,Withanolides and derivatives,0.998,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Epoxides; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Tertiary alcohols; Oxepanes; Carbonyl compounds; 5,6-epoxysteroids; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",488.302,334,5.57,801747326303747200,801746906063734300,12527,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+NH4]+,TRUE
1,C28H38O6,[M + H3N + H]+,C28H42NO6+,Terpenoids,1,Steroids,1,Ergostane steroids,1,Lipids and lipid-like molecules,0.99,Steroids and steroid derivatives,0.987,Steroid lactones,0.984,Withanolides and derivatives,0.998,Withanolides and derivatives,0.998,"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Pyrans; Ketones; Alcohols and polyols; Epoxides; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Dihydropyranones; Carboxylic acid esters; Cyclic alcohols and derivatives; Withanolides and derivatives; Tertiary alcohols; Oxepanes; Carbonyl compounds; 5,6-epoxysteroids; Cyclic ketones; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities",488.302,334,5.57,801747326303747200,801746906063734300,12527,NA,"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",[M+NH4]+,TRUE
1,C10H21NO,[M + H]+,C10H22NO+,Fatty acids,0.958,Fatty amides,0.985,N-acyl amines,0.728,Lipids and lipid-like molecules,0.656,Fatty Acyls,0.627,Fatty amides,0.705,N-acyl amines,0.575,N-acyl amines,0.575,Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,172.17,334,5.57,801747321908114600,801746906143426e3,12537,NA,NA,NA,FALSE
1,C14H31O7P,[M + H]+,C14H32O7P+,Fatty acids,0.96,Glycerophospholipids,0.58,Glycerophosphates,0.115,Organic acids and derivatives,0.943,Organic phosphoric acids and derivatives,0.934,Phosphate esters,0.94,Alkyl phosphates,0.906,Trialkyl phosphates,0.962,Organic compounds; Ethers; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Dialkyl ethers; Alkyl phosphates; Trialkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,343.189,334,5.572,801747330380612600,801746906172786200,12545,NA,NA,NA,FALSE
1,C16H26N4O2,[M + H3N + H]+,C16H30N5O2+,Alkaloids,0.812,Pseudoalkaloids (transamidation),0.127,Purine alkaloids,0.173,Organoheterocyclic compounds,0.972,Diazines,0.582,Pyrimidines and pyrimidine derivatives,0.642,Aminopyrimidines and derivatives,0.527,Aminopyrimidines and derivatives,0.527,Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,324.239,335,5.576,801747327872417500,801746906206340600,12559,NA,NA,NA,FALSE
1,C9H19NO,[M + H]+,C9H20NO+,Fatty acids,0.981,Fatty amides,0.988,N-acyl amines,0.713,Organic acids and derivatives,0.812,Carboxylic acids and derivatives,0.68,Carboxylic acid derivatives,0.672,Carboxylic acid amides,0.714,Carboxylic acid amides,0.714,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,158.154,335,5.577,801747322184938800,801746906235700700,12562,NA,NA,NA,FALSE
1,C13H25NO2,[M + H]+,C13H26NO2+,Amino acids and Peptides,0.901,Small peptides,0.936,Aminoacids,0.91,Organic acids and derivatives,0.999,Carboxylic acids and derivatives,0.999,"Amino acids, peptides, and analogues",0.973,Amino acids and derivatives,0.973,Amino acids,0.954,"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",228.197,335,5.581,801747354611115400,801746906265060900,12568,NA,NA,NA,FALSE
1,C18H31NO4,[M + H]+,C18H32NO4+,Fatty acids,0.947,Fatty amides,0.423,Primary amides,0.414,Lipids and lipid-like molecules,0.923,Fatty Acyls,0.924,Fatty acids and conjugates,0.753,Long-chain fatty acids,0.56,Long-chain fatty acids,0.56,Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Unsaturated fatty acids; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,326.234,335,5.584,8.0174733879858406e+017,801746906378307100,12585,NA,NA,NA,FALSE
1,C18H33NO4,[M - H2O + H]+,C18H32NO3+,Fatty acids,1,Fatty Acids and Conjugates,0.651,Nitro fatty acids,0.937,Lipids and lipid-like molecules,0.994,Fatty Acyls,0.994,Fatty acids and conjugates,0.96,Long-chain fatty acids,0.89,Long-chain fatty acids,0.89,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Unsaturated fatty acids; Nitro fatty acids; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,310.237,335,5.586,801747334243568100,801746906403472900,12599,NA,NA,NA,FALSE
1,C18H33NO4,[M + Na]+,C18H33NNaO4+,Fatty acids,0.816,Fatty amides,0.565,Piperidine alkaloids,0.105,Lipids and lipid-like molecules,0.711,Fatty Acyls,0.723,Fatty amides,0.533,NA,NA,Fatty amides,0.533,Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,350.231,336,5.602,801747323455813600,801746906457998800,12608,NA,NA,NA,FALSE
1,C18H33NO4,[M + H]+,C18H34NO4+,Fatty acids,1,Fatty Acids and Conjugates,0.625,Nitro fatty acids,0.965,Lipids and lipid-like molecules,0.985,Fatty Acyls,0.988,Fatty acids and conjugates,0.973,Long-chain fatty acids,0.893,Long-chain fatty acids,0.893,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Unsaturated fatty acids; Hydroxy fatty acids; Nitro fatty acids; Amino fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,328.249,337,5.611,801747326370856200,801746906512524800,12619,NA,NA,NA,FALSE
1,C18H33NO3,[M + Na]+,C18H33NNaO3+,Fatty acids,0.993,Fatty Acids and Conjugates,0.606,Nitro fatty acids,0.397,Lipids and lipid-like molecules,0.917,Fatty Acyls,0.925,Fatty amides,0.627,N-acyl amines,0.541,N-acyl amines,0.541,Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,334.239,337,5.616,801747324156262700,801746906541884900,12594,NA,NA,NA,FALSE
